id,text,sarcastic,rephrase,dialect,Texte_traduit
514,كل الى فات حماده وكل الى جاى حماده تانى خالص,1,الوضع الجديد مختلف عن الوضع القديم,nile,كل إلى حماة سمين وكل جاي حمادة ، مرة أخرى
515,الواحد شاف ايام اسود من قرن الخروب,1,الواحد شاف ايام صعبة جدا,nile,رأى واحد أيام سوداء من قرن الكرب
516,هاروح اتحزم وأجيلك🙂أحلى من الشرف مفيش,1,هرقص بس الرقص عيب,nile,سوف هزم وجيلك أحلى من الشرف
517,فاكر نفسك شيكابالا,1,انت مابتعرفش تلعب,nile,تعتقد نفسك شيكابالا
518,جاء يسعى ودر تسعة,1,جيت تعدلها فسدتها,magreb,لقد جاء للبحث عن تسعة
519,ولد الفار حفار,1,طالع لابوك,magreb,ولد الفار في حفارة
520,الزمالك دا اصيل الدنيا بتتغير حواليه وهو ثابت مكانه,1,فريق مبيكسبش,nile,Zamalek أصيل ، والعالم يتغير من حوله ، وهو ثابت في مكانه
521,انت واخد في نفسك مقلب,1,شايف نفسو جامد وهو غير كدة بس مش واخد بالو,nile,أنت تأخذ نفسك قالب
522,يا عم ده جلده ومش بيطلع جنيه,1,الشخص ده بخيل جدا,nile,يا عم ، هذا هو جلده ، ولن أرى رطلًا
523,جرى ايه بروح امك,1,جرى ايه ياض,nile,ماذا حدث مع روح والدتك
524,لما تدخل اداب وتسقط وتحول حقوق وتسقط فتحس ان جمال عبد الناصر مبسوط منك اوى,1,فشلت فى كل كلية بتدخلها,nile,عندما تدخل الأدب ، السقوط ، وتحول الحقوق ، وتسقط ، تشعر أن Gamal Abdel Nasser سعيدًا بك
525,السياسيون مثل حفاضات الأطفال يجب تغييرهم باستمرار ولنفس الأسباب,1,السياسيون لا يجب أن يستمرون ف السلطة,msa,يجب تغيير السياسيين ، مثل الحفاضات ، باستمرار وللأسباب نفسها
526,مصر هى البلد الاولى فى العالم فى تصنيف التعليم ولا عزاء للحاقدين,1,مصر خارج التصنيف العالم للتعليم,nile,مصر هي أول بلد في العالم في تصنيف التعليم ولا يوجد عزاء للكارهين
527,عارف ليه غلو تذاكر المترو؟ علشان الشمال كترو,1,غلو اسعار تذاكر المترو,nile,هل تعرف لماذا تذاكر المترو؟ للشمال
528,هتعرفو تعالجو مو صلاح ولا ناخد ابننا نعالجه عندنا في القصر العيني,1,القصر العينى مش هيعرف يعالج محمد صلاح,nile,ستعرف ماذا تفعل
529,جاتكم قرف بقا قرفتونا بالتعليم بتاعكم بجد,1,تعليم فاشل,nile,لقد جئت للاشمئزاز ، ستشددنا بتعليمك بجد
530,ابن الحكومة اذا صادقنه اكلك واذا عاديته هلكك,1,الللى معاه واسطة صعب تصاحبه علشان دايما هيأذيك,nile,ابن الحكومة ، إذا كان يأكلها بصدق ، وإذا كان الأمر طبيعيًا ، فسوف يدمرك
531,حرام اخدت اللقاح وجاتلى كرونا بسببه,1,لقاح فاسد,nile,من المحظور أخذ اللقاح وجعلني كرونا بسبب ذلك
532,المحن اشتغل اهوة وبعد كده هيجرو ورا بعض بالشبشب,1,البدايات تختلف عن النهايات البداية غزل والنهاية طلاق,nile,عملت المحن ، وبعد ذلك ، يكون هارغو وراء بعضهم على النعال
533,اذا كان اللي بيفهمك سابق اللي بيحبك بخطوه.. و اللي بيطمنك سابقهم بمشاوير : احسب سرعة وصول اللى هيخزوقك,1,اللي بيخزوقك هو اكتر واحد موجود حواليك واللي بيطمنك وبيفهمك وبيحبك متاخرين عن اللي بيخزوقك,nile,إذا كان الشخص الذي يفهمك هو الشخص السابق الذي يحبك في خطوته .. ومن يطمئنك مع أسلافه مع ركوب الخيل: حساب سرعة وصول ما سيكون تخزينك
534,وخلى الساعه الرولايكس كمان تضرب منبه يا عم الخطيب,1,تسولت الساعة من تركي الشيخ يا خطيب,nile,كما ضربت رولز مراقبة المنبه ، العم al -khatib
535,شد العمة شد تحت العمة قرد,1,افعال الشيخ والاعيبه تشبه افعال القرود,nile,تم سحب توتر العمة تحت العمة قرد
536,علي وضعك يازميلي,1,انت كفئ لهذا العمل,nile,علي ، يازميلي
537,اللى معاه قرش محيره يجيب نجمه ويعمل احتفال بخسارة الدورى,1,وما فائدة كل ما تفعله وانت قد خسرت الدوري,nile,من لديه قرش مربك يجيب على نجمه ويعمل للاحتفال بخسارة الدوري
538,طيب كويس اجي بقا لأني عفنت في مصر,1,اسافر الامارات عشان قعدت كتير في مصر,nile,حسنًا ، حسنًا ، لأنني غفرت في مصر
539,النادي دا أصيل جدا طول عمره ف مكانه,1,النادي دا فاشل ومش بيتقدم,nile,النادي أصيل للغاية في مكانه
540,شيكابالا لاعب منفوخ على الفاضي زي البالونة المنفوخة هو,1,لا عب متكبر بدون وجه حق,nile,شيكابالا لاعب منتفخ على الزي الفارغ للبالون المنفخ
541,فاكر انة هيعرف يخلص الشغلانة بسرعة .. موت يا حمار !!,1,مش هيخلص الشغل بسرعة وهيطول فيه جدا,nile,أعتقد أنه سيعرف العمل بسرعة ... الموت ، الحمير !!
542,شابوه يوسف الشريف بجد,1,برافو يوسف الشريف,nile,Youssef Youssef al -sharif على محمل الجد
543,بيوزعوا سيجاره فرط مع بلح و علبه عصير و مولتو علشان يكون كسب ثواب الافطار كامل,1,يفسد الصيام بالسجائر,nile,قاموا بتوزيع سيجارها المفرط مع التواريخ وصناديق العصير ومجموعة متعددة ، بحيث يكون الإفطار الكامل من الإفطار
544,انت عملت من البحر طحينة,1,بيعظم و يكبر الحاجات اللى بيعملها,nile,لقد عملت من البحر الطحيني
545,ال سابته الهانم تاخده مساحة السلالم,1,الست الكويسة لما تسيب راجل يبقى تاخده اى ست وخلاص,nile,تؤخذ الحنمة بسلالم الدرج
546,رياض محرز لبس لتايلور الحجاب الله على أخلاقك,1,رياض محرز مسلم وزجته لا تستر نفسها فى لبسها ,magreb,رياد ماهريز يرتدي إلى تايلور ، الحجاب ، الله على أخلاقك
547,البنت دى جامده الله عليكى قمر 14 يابنتى,1,بنت جميلة فى القاعة,nile,الفتاة جامدة ، بارك الله فيك ، قمر 14 ، ابنتي
548,محسسني انك اخترعت الذره يعني,1,انت معملتش حاجة مهمة,nile,أشعر لي أنك اخترعت الذرة ، أعني
549,كريمات كريمات كريمات وداعا للتجعيد,1,لا يوجد كريم نافع لإزالة التجاعيد,nile,كريم كريم وداعا للتجعيدات
550,كنا فاكرينه موسى طلع فرعون,1,شخص شرير و عامل طيب,nile,كنا نفكر في موسى ، فرعون
551,رمضان بيه بيحب يقف على الكوره عندكو حد عيوطه والا نجيب حازم امام,1,حازم إمام لاعب ضعيف,nile,رمضان بك ، يحب أن يقف على الكرة ، ولديك أنف ، ولن نرد على الإمام الحازم
552,لو باض الديك بدل الفرخة هعديك,1,مستحيل هعملك اللى انت عاوزه مهما حصل,nile,إذا انتهى الديك ، بدلاً من الدجاج ، سأأتي
553,استحي ده حتي عبد الناصر ما سواها,1,أنت فشلت فشل محدش فشله قبل كده,nile,أشعر بالخجل حتى عبد الناصر
554,الناس خايفة من كورونا والاذكيا مش عايزين ياخدوا اللقاح,1,الناس اغبيا عشان لو خدوا اللقاح مش هيجيلهم كورونا,nile,يخاف الناس من كورونا والأذكى ، فأنت لا تريد أن تأخذ اللقاح
555,لو انت لمستها هحطك تحتها,1,كلام تكاتك يعني لو قربت منها هدوسك بيها,nile,إذا لمستها ، سأضعك تحتها
556,بقينا فى زمن النسكافيه هو الحاجه الوحيده اللى بوش واحد,1,يعنى احنا فى زمن البشر فيه بكذا وش,nile,بقينا في وقت Nescafe هي الحاجة الوحيدة لبش واحد
557,انت مفيش منك اتنين ولا يمكن يكون,1,مفيش غيرك بيتصرف التصرفات الغريبة دى ,nile,ليس لديك اثنين ولا يمكن أن تكون
558,مين البنات دول ..من انهى مجرة,1,بنات جميلة جدا,nile,من هي دول الفتيات ... الذين أنهوا مجرة
559,دى فاكرة نفسها كلوديا شيفر,1,دى فاكرة نفسها رفيعه وهى اصلا تخينه ,nile,هذا هو نفس كلوديا تشيفير
560,استـريحـي يـا أثيوبيـا ، استـريجي يـا الصـومـال ، جووو الخليج يـذوب النعــال xD,1,حر الخليج أشد من أثيوبيا والصومال,msa,إثيوبيا ، Istiqi ، الصومال ، الخليج يذوب xD
561,وزير الأوقاف على ما أزمة (( كورونا )) تخلص هيكون طرد كل الأئمة ... محتاج خازووق خشبي ..,1,وزير الاوقاف يفصل عدد كبير من الائمه في مصر,nile,وزير AWQAF على ما هي أزمة ((كورونا)) هو التخلص من طرد جميع الأئمة ... في حاجة إلى نكتة خشبية.
562,والله يا اخويا الواحد عنده زهايمر من الان,1,أنا بنسي كل حاجة فى السن الصغير ده,nile,من الله ، شقيقي ، لديه تشايمر من الآن
563,الطالب الفاشل هو الطالب الذي يمكن أن يكون الأول على فصله، لولا وجود الآخرين,1,الطالب الفاشل مش هيبقى فاشل لو كان وحده فى الفصل,nile,الطالب الفاشل هو الطالب الذي يمكن أن يكون الأول في فصله ، لو لم يكن ذلك لوجود الآخرين
564,اراء الناس دي كلها جايبينها من الكابنيه,1,اراء الناس دي كلها كلام فارغ,nile,وجهات نظر هذا الناس كلها من الخزانة
565,حوش يا ولاد هموت من كتر الضحك,1,دمك مش خفيف,nile,هوش ، يا أطفال هاموت ، من ضحك الضحك
566,من يبحث عن امرأة طيبة وذكية وجميلة يبحث عن ثلاث نساء,1,لن يتوفر الطيبة والجمال والذكاء فى إمرأة واحدة لابد نمن ثلاث نساء,magreb,التي تبحث عن امرأة جيدة وذكية وجميلة تبحث عن ثلاث نساء
567,انت عارف يا ريس الشخص ده جزمته بعشرة من عينتك,1,الشخص ده افضل منك بكثير,nile,أنت تعرف رأس هذا الشخص
568,برة وجوة فرشتلك وانت مايل ايه يعدلك.,1,عملت كل شئ وانت ما فى شئ عاجبك ولا تريده,nile,بارا وجو حياتك وأنت ميل ، ما الذي يعجبك؟
569,الغباء هو المرض الوحيد الذي لا يتعب المريض وإنما يجلط كل المحيطين به,1,الغبي لا يري مشكله في نفسه,gulf,الغباء هو المرض الوحيد الذي لا يتعب المريض بل كل من حوله
570,اخوها ياسمين دا عامل زي الست اللتاته ال محدش طلب منها تتكلم ولا تقول رأيها,1,ياريت اخو ياسمين عبد العزيز يبطل يتكلم عن اخته,nile,شقيقها ، ياسمين دا ، عاملة ، مثل الستة التي لم تطلب منها أن تتحدث ولا تقول رأيها
571,الاستاذه نيللي اللي فورمتها مظبوطه بالمللي,1,نيللي كريم جسدها الرائع ومبهر,nile,البروفيسور نيللي ، الذي دفعت في مالالي
572,السؤال مين بيدور اللعبة,1,كثير مقتنعين ان كورونا ده تمثيلية,msa,السؤال هو اللعبة
573,انا الذى نظر الاعمى الى ادبى فالحمد لله انه اعمى,1,أنا فاشل ومش بعرف أكتب أدب,nile,أنا الشخص الذي نظر إلى الأدب ، ويشيد لله ، أنه أعمى
574,جوزيه مورينيو من يريد المتعه فاليذهب الى السيرك نحن هنا نلعب كرة قدم,1,ليس بالضروره ان تجد المتعه فى كل مباريات كرة القدم,msa,خوسيه مورينيو الذي يريد المرح ، لذا انتقل إلى السيرك.هنا نلعب كرة القدم
575,المديره دى صعبة خالص طبلها علشان تعدى يومك,1,نافق المديرة علشان أمورك تبقى كويسة فى الشغل,nile,المدير صعب ، أسطوله الصادق ، حتى تتمكن من تجاوز يومك
576,مزاجي عال العالي، احسن من هيك فش,1,مزاجي كثير سيء,levant,مزاجي العالي أفضل من هيك
577,الاهم من انك تواصل السعى أن يكون ليك حد تقيل شغال فى حتمية الوصول,1,يعنى من الاخر لازم يكون عندك واسطه او حد يسندك عشان توصل لاخر القمة,nile,أهم شيء هو أن تستمر في السعي إلى الحصول على وظيفة للقيام بحتمية الوصول
578,الرجاله ماتت في الحرب,1,مفيش راجل بيدافع عن حد دلوقتى,nile,مات الرجال في الحرب
579,المتعوس متعوس ولو علقوا علي باب بيته فانوس,1,الشخص النحس نحس ,nile,مختلف ، مدلل ، وإذا علقوا على باب منزله ، فانوس
580,انت و الرياضيات زوج خطوط ما يتلاقاوش,1,انت غبي ما تفهمش الرياضيات,magreb,أنت والرياضيات هي زوج الخطوط
581,على قد ايدينا و ماحدش ليه خير علينا,1,ماشيين بستر ربنا علي اد حالنا ومش مستنيين مساعدة من حد,nile,على أيدينا ولا أحد مفيد لنا
582,أين الفتاة التي أقسمت لك بالبقاء، أنها أونلاين تقسم لغيري,1,بنت خاينة اقسمت متبقاش الا معايا وهي بتواعد حد تاني اونلاين,nile,أين الفتاة التي أقسمت عليك على قيد الحياة ، فهي تمنح عبر الإنترنت لشخص آخر
583,سبحان الله ميسى فى الملعب عامل زى القطط بسبع ارواح,1,قوى بدنيا و مش بيتعب,nile,المجد إلى الله ، ميسي ، في الميدان ، عامل ، مثل القطط مع سبعة أرواح
584,صاروخ الفضاء المصري اطلق عام 1970 ولم يعد حتى الان,1,مفيش صواريخ اطلقت كله كدب,nile,تم إطلاق صاروخ الفضاء المصري في عام 1970 ولم يعود بعد
585,حاط روحو حاجة كبيرة,1,فاكر نفسه حد مهم,magreb,روهو حاجة كبيرة
586,لو لقيتنى عملتلك كومنت على بوست او صوره اعرف انها عجبتنى لدرجه انى اتحديت كسلى وحركت صباعى عشان خاطرك,1,انى كسلانه بدرجه كبيره,nile,إذا وجدتني ، مذنب في منشور أو صورة ، أعلم أنني فوجئت بأنني تحدت كسول ونقلت ابني إلى ذهني
587,بيقولك موجة كورونا الجاية بقت معوية يعني هنلبس بدل الكمامة بامبرز,1,موجة الكرونا الجاية هتبقي معوية وتسبب إسهال,nile,أنت تخبرك بموجة كورونا ، بقي الجمل معويًا ، أعني ارتداء بدلاً من ذلك
588,بس عامل فيها أسد علينا,1,شديد فقط علينا,nile,لكن أسد عمل علينا
589,يا بن عمي روح نقص شوية راك تبان كي الدب,1,نقص وزنك,magreb,يا عمي ، روح قليلا
590,قسما بالله الجزائر تعمل مننا بطاطس محمره,1,الجزائر هتهزمنا بكل سهولة في كرة القدم,nile,قسم من الله ، الجزائر ، يعمل من الولايات المتحدة البطاطا المحمر
591,رايح يساعد الناس كلها كان ساعد نفسة اصل باب النجار مخلع,1,هو محتاج يساعد نفسه قبل مساعدة الناس,nile,Rayeh يساعد جميع الناس مساعدة نفس باب النجار
592,الشاطرة ديما تغزل برجل الحمار,1,الذكية  هى من تتصرف وتنجح بأقل الامكانيات المتاحة,nile,آل شاترا ديما تغمر مع رجل الرجل
593,يعطي الحلق للي بلا ودان,1,مش يستاهل حاجة قيمة,nile,إنه يعطي الحلق لي دون د.
594,داك الزين تقول مهند,1,شكله جميل مثل الممثل مهند التركي,magreb,بطة آلزين يقول موهاناد
595,نهارنا ابيض ان شاء الله,1,في مشكله كبيره وهو قلقان جامد من اول اليوم,nile,عصرنا أبيض ، واشر الله
596,عاش يا وحش فاضلك 50 سنة وتبقى ارنولد شوازنجر,1,انت ياض مفكش حاجة وعمرك ما هتربي عضلات ,nile,عاش ، وحش 50 عامًا
597,وتبغى زيادة بحبك...أجيب لك قلب ثاني منين؟,1,بحبك كتير جدا وحبك يملا القلب,gulf,وتريد زيادة في حبك ... سأعطيك قلبًا آخر؟
598,الواد الفتك فاكرني عبيط و هصدقه,1,ده غبي لكن فاكر نفسه ناصح وفتك واللي قدامه صيدقه,nile,الوادي المميت ، فكر بي ، وسأعقب
599,وانت ما شاء الله أذكى أخواتك,1,فاكر نفسك أذكى واحد فينا وأنت مبتفهمش,nile,وأنت ، على استعداد الله ، هي أذكى الأخوات
600,اللي متعرفش ترقص تقول الارض عوجة,1,الناس اللى بتتحجج بالظروف ومش بتحاول حتى انها تجتهد او تسعى فالحياة,nile,من لا يعرف أنك ترقص
601,دا انت بلسم يسلام,1,انت تحاول ان تبدو جيدا لكنك غير ذلك,nile,هذا هو مكيف الإسلام
602,فاكره انه مفيش منها اتنين وبتعرف المستخبى,1,مغرورة وانانيه وبتعرف كل حاجه,nile,أعتقد أنه لا يوجد اثنين ، وأنا أعرف الوسيط
603,برايطوايط هو لي يستحق الكرة الذهبية هذا العام,1,برايتوايت لاعب بمستوى محدود جدا,magreb,رحلة أنا جديرة بالكرة الذهبية هذا العام
604,بسبب الظروف صرنا نشوف المعزة خرووف,1,الظروف تغير نظرتنا للناس كل مرة,nile,بسبب الظروف ، نرى الماعز
605,القرد فى عين امه غزال,1,صاحب الشئ شايفه أحسن حاجة,nile,القرد في عين والدته غزال
606,لو كان فيه الخير مكنش رماه للطير,1,ان الشخص مش كويس علشان كده محدش عايزه,nile,إذا كان هناك الخير ، فلن ألقى به على الطائر
607,مبين عليك بتفهم كثير.,1,فهمك قليل ومحدود.,levant,لديك الكثير من الفهم.
608,وهوا ماله اتحاد الكرة البقر اللي بيوزع من مال امه,1,اتحاد الكرة فاسد,nile,وأمواله هي رابطة كرة القدم ، الأبقار التي توزع من أموال والدته
609,يلي مالو بنات ما حدا بيعرف امتى مات,1,الرجل الذى ينجب اولاد فقط ولا ينجب بنات عندما يموت لا يتم الصراخ والعويل علية فماحدش بيعرف انه مات امتى,levant,فتيات مالو لا يعرفن كيف يعرفن متى مات
610,ودنك منين يا جحا,1,ودنك منين يا غبي,nile,أين أنت؟
611,تحت المكباج الخادع يوجد قمرا ساطع او نوع من انواع الضفادع,1,المكياج يخفي القباحه,nile,تحت القبطان الخادع ، يوجد قمر مشرق أو نوع من الضفدع
612,جا اشمو و هو ياكلو 😄,1,بغا يعاون صدق مخسرها,magreb,جا آشمو وهو يأكل 😄
613,مورينيو: كرة القدم للرجال على لاعبي أرسنال التوقف عن البكاء,1,لاعبي ارسنال لا يلعبون بشكل جيد,nile,مورينيو: كرة القدم للرجال للاعبين في أرسنال للتوقف عن البكاء
614,عم ترامب دا المفروض يبقي بتاع عصير,1,ترامب لونه برتقالي,nile,من المفترض أن يحافظ عم ترامب على العصير
615,اصبر على جار السوء يا يرحل يا تجيله داهية تأخذه.,1,اصبر على اذية الجار حتى رحيله او غير ذلك,nile,كن صبورًا مع جار سيء ، اذهب ، داهي ، أنت تأخذها.
616,اعزمني علي أكل ، فربما لست بخير يا اخي,1,أعزمنى علشان الأكل هيخلينى مبسوط,nile,أنوي أن آكل ، ربما لا بخير يا أخي
617,خبير في الأنترنيت جابت مرتو طفل سمّاه دوت كوم  ههههههههههههههههههههههههههههههههههههه,1,لكثرة تأثره بالمجال الافتراضي سمى ابنه اسما مرتبطا بمجال تخصصه,msa,تجول خبير الإنترنت في طفل أطلق عليه اسم كوم هههههههههههههههههههههههههههه
618,الماظ ايه يا ولاد التيت هو الشباب عارف يجب دهب لما يجيب الماظ,1,الشباب مش عارف يجيب شبكة ذهب علشان يتجوز أكيد مش هيقدر يحيب ألماظ,nile,ما أنت ، يا أطفال من الوطن؟
619,مش كل مرة، تسلم الجرة,1,مش كل مرة، تسلم الامور,nile,ليس في كل مرة ، تسليم الجرة
620,معروفة انه اللي بيكبر فشخته دايما بيوقع,1,خليك على قد حالك وبلاش مظاهر,nile,من المعروف أنه يبحث دائمًا
621,وانت مالك اهلك يسطا بالموضوع,1,متتدخلش فى اللى ميخصكش,nile,وأنت مالك عائلتك
622,لو حضرتك كنت في مهمه تدمير البلد تعليميا وتدمير جيل ..!! احب ابشرك لقد نجحت مهمتك,1,الوزير نجح نجاح ساحق في تدمير المنظومة التعليمية,nile,إذا كنت في مهمة تدمير البلاد من الناحية التعليمية وتدمير جيل .. !! لقد نجحت أن أعظ مهمتك
623,حكيم زياش ينقد عصفور من التحليق في السماء,1,المبالغة فى مدح حكيم زياش والصاق أمور خيالية به,msa,ينتقد حكيم زياش طائرًا من الطيران في السماء
624,اللى ياكل لوحده يزور,1,لو مشاركتش اللى حواليك في الخيرالذى معك فستصاب بالهم,nile,الشخص الذي يأكل وحده يزور
625,واخد بيقول الحب عبترة عن حرفين حاء حمار بيكدب وباء بقرة بتصدق,1,الحب كذبة كبيرة والناس بتصدقها والبنات خاصة,nile,يقول أحدهما أن الحب هما رسالتان ح إلى حمار يكذب بقرة ، ويعطي خيرية
626,الخوازيق فى حياتى زى المناديل اسحب واحد يطلع التانى,1,كل شويه منغصات لحياتى مش بعرف اخد نفسى,nile,al -khawazeq في حياتي ، مثل المناديل ، أسحب الثانية
627,ارفع راسك فوق انت صيني,1,ان الصين سبب كل الامراض ,nile,ارفع رأسك فأنت صيني
628,مامنه للرجال يا مامنه للميه في الغربال,1,التي تثق برجل كانها وثقت بالمياه داخل منخل,nile,مناء للرجال ، يا ميرمه من غرب الغربي
629,الحياة بدون أخت متل الشارع بلا زفت,1,الدنيا بدون اخوات بنات لا يمكن العيش فيها مثل الشارع غير الممهد بالزفت,levant,الحياة بدون أخت مثل الشارع بدون إسفلت
630,القرد بعين أمه غزال,1,"الشخص غير جميل أو قبيح"" بنظر المتحدث""",nile,القرد مع والدته غزال
631,شوية سرسجية مع بعض احنا مالنا نشوف خبر زى دا !!,1,شوية فشلة وتافهين ليه أخبارهم متصدرة الأخبار,nile,القليل من سيرسيجيان ، مع البعض ، ليس لدينا المال.
632,هوه حد هيعد وراكو الورق ورقنا والدفاتر دفترنا الناس خلاص فهمت,1,ارقام لا مصداقية لها وبيانات زائفة,nile,إنه شخص يمكن أن يراك الورق وكتبنا وأجهزة الكمبيوتر المحمولة.
633,دى مفكره نفسها مارلين مرنوه 😃,1,مفكره نفسها جميله ومثيره وهى غير كده,nile,هذا هو نفس المفكر مارلين مونرو 😃
634,لست عاجزا عن قصف جبهتك لكن الصاروخ غالي والهدف رخيص,1,مش ضعيف ولا عاجز عن اني اخد حقي منك لكن انا كلامي غالي وانت اقل من اني اعملك قيمة,nile,لست قادرًا على قصف جبهتك ، لكن الصاروخ مكلف والهدف رخيص
635,هذا العبد حاط روحو ما يخراش,1,هذا الإنسان متكبر كثيرا,magreb,أحاط هذا الخادم بروح ما لا يسير
636,لو الجواز مش جريمه ماكنوش طلبوا اتنين شهود,1,الجواز أكبر جريمه علشان كده بيطلبو شهود عليها,nile,إذا لم يكن جواز السفر جريمة ، فلن يطلبوا شاهدين
637,مكفاية موتمرات بقي انظرو لناس شوية ولا انتو بتحبو الهيصة عل الفاضي,1,كفاية مؤتمرات بقي وخلونا نبص لمشاكلنا نحلها بدل الشو الإعلامى على الفاضي,nile,يبقى كفاية المؤتمرات أن تنظر إلى القليل من الناس ، وأنت لا تحب القيل والقال على الفراغ
638,عدد الحالات 3890 -- الكلية : خلاص بقي ينزلوا الكلية بعد العيد يمتحنوا قبل ما يموتوا,1,ان الامتحانات لازم تتعمل,nile,عدد الحالات 3890 - الكلية: يبقى الخلاص لتنزيل الكلية بعد العيد.تم اختبارهم قبل وفاتهم
639,الحمدلله باقي لي كل المواد واخلص المذاكره,1,لم يتم تحصيل ولا مادة,gulf,الحمد لله ، الباقي
640,هنحطها الفرخة ونتفرج عليها ولا بتبيض بيض دهب ونبيعه,1,خبر لا يصدق عن فرخة ب30 الف جنيه,nile,سنضعه على الدجاج ، ونشاهده ، ولا نبيض بيض الدهاب وبيعه
641,الوضع لوز,1,الوضع ممتاز,levant,لوز
642,كل الصرف ده وفي الاخر بقي ايه,1,يعني الراجل مكلف نفسه وجايب حاجات كتير وبردوا معفن منضفش,nile,كل هذا التبادل وفي النهاية ، ما تبقى
643,قالو تعرفشي العلم قالو نزيد فيه,1,هذا متعالم,magreb,قالوا إنك تعرف المعرفة
644,الوضع دندرة,1,الوضع كثير ممتاز,levant,وضع داندارا
645,الطول طول نخله والعقل عقل سلخه,1,انه كبير فى العمر والجسم وصغير فى العقل,nile,الطول هو طول راحة يده والعقل هو عقل بشرته
646,أنت مسوي نفسك فيها عنتر يا حلو,1,مسوي نفسك بطل مثل عنتر، تقفز على كل شيء,gulf,أنت تساويك ، أنتار ، يا حلوة
647,لي يشجع أرسنال ما عندوش ضغط قبل الماتش هههه,1,لي يشجع أرسنال عارف بلي خاسر خاسر يتفرج بلا ضغط,magreb,أشجع أرسنال ، ليس لدي ضغط قبل المباراة هاها
648,لو بابا طبال ماما اكيد بترقص ياهانم,1,طبع الاسره يغلب,nile,إذا كان بابا دابال ماما من المؤكد أن ترقص
649,طفى النور يابهيه كل العسكر حرميه,1,ان العسكر ياخذون خير البلدان,nile,النور ، باهيا ، كل الجيش ممنوع
650,إذا أردت أن تعرف عيوبك، فقل عيبا واحدا في زوجتك وسوف تخبرك بكل عيوبك وعيوب اهلك وأصحابك وجيرانك وبعض عيوب سكان الدول المجاورة,1,عايز تتفضح طلع عيب فمراتك وهي تجيب سي ديهاتك انت واهلك وكل اللي تعرفهم,nile,إذا كنت تريد أن تعرف أخطائك ، فقل عيبًا واحدًا في زوجتك وسيخبرك بكل أخطائك وعيوبك
651,قالو يا قاعدين يكفيكوا شر الجايين,1,يكفينا الشرور الغير معروفه,nile,قالوا يا ساكرز
652,عرفهم على بعض واعملوا مشروع وانت وحظك وشطارتك يايولعوا فيك ياتعيش فى جنة,1,عرف زوجاتك على بعض وانت وحظك في اللي هيحصل بعد كدة,nile,تعرف عليهم للبعض وقم بعمل مشروع ، وأنت ، حظك ، واختراقك
653,شعب مقْودة ضحكوا عليه ضحك معاهم,1,شعب يقودونه كالحمير وهو لا يفهم شئ,magreb,ضحك الناس الذين هم qumaqah
654,انت اصلا من بنها يبني شوف انت رايح فين,1,انت مش من هنا,nile,أنت بالفعل من Banha Builds Shouf ، أنت ذاهب إلى حيث
655,انا استحق جائزة الاوسكار في المذاكرة دا انا بذاكر ساعة في الشهر,1,انا مش بذاكر خالص,nile,كنت أستحق جائزة الأوسكار في الدراسة
656,انا كل ما اسمع الاغنيه الجديدة لامال ماهر ببقي عايز اسيب البيت والم هدومي ف كيسه بلاستيك,1,الاغنية بتشجع علي الاستقلالية ليا وللبنات,nile,أنا كل ما أسمع الأغنية الجديدة.
657,رونالدو قالهم السلام عليكم العرب قالو رونالدو دخل للاسلام 😆😂,1,رونالدو قال كلمة بالعربية العرب ردوه مسلم,magreb,قال رونالدو ، السلام عليك ، العرب ، قالوا إن رونالدو دخل الإسلام 😆😂
658,وحمو وشاكوش وكزبره وبقدنوس هما دول اولاد الذوات وخريجى الجامعات هما البلطجية والسرسجيه,1,حمو وشاكوش واللى زيهم بلطجية,nile,هامو ، شاكوش ، كازبرا ، والبقدونس هي بلدان الأطفال والخريجين
659,حنان الرجل يفوق حنان الأم 10 أضعاف عند محاولته التعرف على فتاة جديدة,1,الراجل بيمثل أنه حنون من أجل التعرف على بنت جديدة,nile,حنان الرجل يتجاوز حنان الأم 10 مرات عندما يحاول التعرف على فتاة جديدة
660,الي خدته القرعة تاخده ام الشعور والقرعة شعرها راح,1,ان التانيه هتلاقي نفس مصير الاولى الي كانت حلوة وجميله وزوجها طفاها,nile,إلى خدها ، يأخذه أو الشعور واليانصيب شعرها
661,لاثة مجانين يحب يهربوا من مستشفى المجانين، قالو نعمل خطه، لو السور طويل نقصره شويه ونهرب، ولو السور قصير نهرب على طول، راحوا ملقوش سور، قالوا يلا نرجع الخطه فشلت,1,منتهى الغباء خلى  المجانين يفكروا  أن عدم وجود السور يعني فشل الخطة,magreb,يحب الناس المجانين الهروب من المستشفى المجنون.
662,اللي يقولها جوزها يا عورة الناس يلعبو بيها الكورة,1,الي يتريق على مراته الناس هيتريقو عليها اكتر منه,nile,ما يقوله زوجها ، يا سيلة يلعب الناس مع كرة القدم
663,الحكومة دى مجاش زيها فى نزاهتها وإصلاحها,1,الحكومة فاسدة وفاشلة,nile,الحكومة موحدة في نزاهتها وإصلاحها
664,شفتك وأنت ماشي قلبي اتحيّر قلت: ده غزال ولا عجل صغير,1,الشخص لي يمشي و يتمايل يبقى يشبه للحيوانات,nile,رأيتك وأنت لست قلبي.
665,دى مفكره حاله ياما هنا ياما هناك🤣,1,مفكره نفسها حاجه وهى تافهه والا تسوى,nile,هذا دفتر ملاحظات ، ياما هنا ، ياما ، هناك
